price,area,bedrooms,toilets,direction,district,address,street,views,price_per_m2,room_density,quality_label
6.5,14.0,0,0,Unknown,Q.Phú Nhuận,"Dự án The Prince Residence, Đường Nguyễn Văn Trỗi, Phường 12, Phú Nhuận",Nguyễn Văn Trỗi,35,0.4642857142857143,0.0,Premium
8.0,68.0,2,2,Unknown,Q.7,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7",Đào Trí,74,0.11764705882352941,0.058823529411764705,Budget
1.3,30.0,0,0,Unknown,Q.Bình Thạnh,"Đường D5, Phường 25, Bình Thạnh",D5,88,0.043333333333333335,0.0,Budget
10.0,80.0,2,2,Unknown,Q.8,"Đường Tạ Quang Bửu, Phường 6, Quận 8",Tạ Quang Bửu,48,0.125,0.05,Budget
35.0,120.0,5,4,Unknown,Q.Phú Nhuận,"178A Đường Phan Đăng Lưu, Phường 3, Phú Nhuận",Phan Đăng Lưu,30,0.2916666666666667,0.075,Standard
18.0,62.0,5,3,Unknown,Q.11,"Đường Nguyễn Chí Thanh, Phường 16, Quận 11",Nguyễn Chí Thanh,55,0.2903225806451613,0.12903225806451613,Standard
14.0,53.0,1,1,Unknown,Q.Tân Bình,"104 Đường Phổ Quang, Phường 2, Tân Bình",Phổ Quang,41,0.2641509433962264,0.03773584905660377,Standard
22.0,41.0,5,4,Unknown,Q.5,"Đường Cao Đạt, Phường 1, Quận 5",Cao Đạt,76,0.5365853658536586,0.21951219512195122,Premium
2.6,24.0,0,0,Unknown,Q.4,"109f Đường Bến Vân Đồn, Phường 9, Quận 4",Bến Vân Đồn,70,0.10833333333333334,0.0,Budget
24.0,40.0,4,4,Unknown,Q.10,"207/15 Đường 3/2, Phường 11, Quận 10",3/2,83,0.6,0.2,Premium
20.0,24.0,0,0,Unknown,Q.5,"Đường Trần Hưng Đạo, Phường 14, Quận 5",Trần Hưng Đạo,61,0.8333333333333334,0.0,Premium
30.0,120.0,4,5,Unknown,Q.Phú Nhuận,"38H Đường Trương Quốc Dung, Phường 10, Phú Nhuận",Trương Quốc Dung,39,0.25,0.075,Standard
12.0,52.0,4,3,Unknown,Q.8,"Đường Quốc Lộ 50, Phường 6, Quận 8",Quốc Lộ 50,71,0.23076923076923078,0.1346153846153846,Budget
10.5,64.0,2,2,Unknown,Q.2,"D’Lusso, số 09, Đường Nguyễn Thị Định, Phường An Phú, Quận 2",Nguyễn Thị Định,91,0.1640625,0.0625,Budget
4.0,50.0,0,0,Unknown,Q.Tân Phú,"Đường Lê Trọng Tấn, Phường Tây Thạnh, Tân Phú",Lê Trọng Tấn,64,0.08,0.0,Budget
3.4,24.0,0,0,Unknown,Q.Tân Bình,"Đường Trường Chinh, Phường 15, Tân Bình",Trường Chinh,91,0.14166666666666666,0.0,Budget
20.0,80.0,0,0,Unknown,Q.9,"Đường Lò Lu, Phường Trường Thạnh, Quận 9",Lò Lu,55,0.25,0.0,Standard
15.0,64.0,5,6,Unknown,Q.9,"Đường Liên Phường, Phường Phước Long B, Quận 9",Liên Phường,56,0.234375,0.171875,Budget
24.0,150.0,5,5,Unknown,Q.7,"Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7",Nguyễn Văn Linh,65,0.16,0.06666666666666667,Budget
35.0,162.0,4,6,Unknown,Q.Phú Nhuận,"182/16B Đường Lê Văn Sỹ, Phường 10, Phú Nhuận",Lê Văn Sỹ,37,0.21604938271604937,0.06172839506172839,Budget
27.0,160.0,0,0,Unknown,H.Bình Chánh,"Đường Trung Sơn, Xã Bình Hưng, Bình Chánh",Trung Sơn,129,0.16875,0.0,Budget
31.0,72.0,0,0,Unknown,Q.Phú Nhuận,"39A Đường Hoa Lan, Phường 2, Phú Nhuận",Hoa Lan,30,0.4305555555555556,0.0,Premium
14.0,150.0,3,4,Unknown,Q.12,"Đường Lê Thị Riêng, Phường Thới An, Quận 12",Lê Thị Riêng,102,0.09333333333333334,0.04666666666666667,Budget
25.0,200.0,4,5,Unknown,Q.7,"Đường Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7",Nguyễn Hữu Thọ,65,0.125,0.045,Budget
17.0,150.0,2,3,Unknown,Q.Bình Thạnh,"Đường Hoàng Hoa Thám, Phường 6, Bình Thạnh",Hoàng Hoa Thám,21,0.11333333333333333,0.03333333333333333,Budget
35.0,200.0,4,4,Unknown,Q.Bình Thạnh,"Đường Lê Trực, Phường 7, Bình Thạnh",Lê Trực,12,0.175,0.04,Budget
42.0,200.0,0,0,Unknown,Q.Tân Bình,"Đường Nguyễn Minh Hoàng, Phường 12, Tân Bình",Nguyễn Minh Hoàng,44,0.21,0.0,Budget
35.0,115.0,0,0,Unknown,Q.Tân Bình,"31a/2 Đường Hoàng Hoa Thám, Phường 13, Tân Bình",Hoàng Hoa Thám,49,0.30434782608695654,0.0,Standard
25.0,126.0,0,0,Unknown,Q.7,"Đường Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7",Nguyễn Hữu Thọ,54,0.1984126984126984,0.0,Budget
37.0,176.0,5,6,Unknown,Q.2,"Đường Số 5, Phường An Phú, Quận 2",Số 5,87,0.21022727272727273,0.0625,Budget
45.0,160.0,0,0,Unknown,Q.3,"57k Đường Tú Xương, Phường 9, Quận 3",Tú Xương,118,0.28125,0.0,Standard
50.0,90.0,0,5,Unknown,Q.10,"436/3a Đường 3/2, Phường 12, Quận 10",3/2,58,0.5555555555555556,0.05555555555555555,Premium
30.0,169.0,0,0,Unknown,Q.9,"Đường Phước Hữu, Phường Phước Long B, Quận 9",Phước Hữu,54,0.17751479289940827,0.0,Budget
20.0,160.0,3,3,Unknown,Q.9,"Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9",Đỗ Xuân Hợp,44,0.125,0.0375,Budget
20.0,136.0,4,3,Unknown,Q.9,"Đường Võ Chí Công, Phường Phú Hữu, Quận 9",Võ Chí Công,44,0.14705882352941177,0.051470588235294115,Budget
40.0,144.0,3,2,Unknown,Q.2,"Dự án Feliz En Vista, Đường Đồng Văn Cống, Phường Thạnh Mỹ Lợi, Quận 2",Đồng Văn Cống,90,0.2777777777777778,0.034722222222222224,Standard
10.0,70.0,2,2,Unknown,Q.8,"Đường Cao Lỗ, Phường 4, Quận 8",Cao Lỗ,61,0.14285714285714285,0.05714285714285714,Budget
