Giá,Diện tích,Số phòng ngủ,Số toilet,Hướng nhà,Địa chỉ nhà,Ngày đăng tin,Ngày hết hạn,Mã tin,Quận,Đường,Lượt xem
6.5 Triệu/Tháng,14 m²,0 PN,0,---,"Địa chỉ:  Dự án The Prince Residence, Đường Nguyễn Văn Trỗi, Phường 12, Phú Nhuận, Hồ Chí Minh",23/06/2023,08/07/2023,9122,Quận Phú Nhuận,Đường Nguyễn Văn Trỗi,Lượt xem: 35
8 Triệu/Tháng,68 m²,2 PN,2,---,"Địa chỉ:  Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",16/06/2023,01/07/2023,8478,Quận 7,Đường Đào Trí,Lượt xem: 74
1.3 Triệu/Tháng,30 m²,0 PN,0,---,"Địa chỉ:  Đường D5, Phường 25, Bình Thạnh, Hồ Chí Minh",07/08/2023,22/08/2023,11591,Quận Bình Thạnh,Đường D5,Lượt xem: 88
10 Triệu/Tháng,80 m²,2 PN,2,---,"Địa chỉ:  Đường Tạ Quang Bửu, Phường 6, Quận 8, Hồ Chí Minh",16/06/2023,01/07/2023,8580,Quận 8,Đường Tạ Quang Bửu,Lượt xem: 48
35 Triệu/Tháng,120 m²,5 PN,4,---,"Địa chỉ:  178A Đường Phan Đăng Lưu, Phường 3, Phú Nhuận, Hồ Chí Minh",16/03/2023,31/03/2023,4467,Quận Phú Nhuận,Đường Phan Đăng Lưu,Lượt xem: 30
18 Triệu/Tháng,62 m²,5 PN,3,---,"Địa chỉ:  Đường Nguyễn Chí Thanh, Phường 16, Quận 11, Hồ Chí Minh",16/08/2023,31/08/2023,11996,Quận 11,Đường Nguyễn Chí Thanh,Lượt xem: 55
14 Triệu/Tháng,53 m²,1 PN,1,---,"Địa chỉ:  104 Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",18/07/2023,02/08/2023,10558,Quận Tân Bình,Đường Phổ Quang,Lượt xem: 41
22 Triệu/Tháng,41 m²,5 PN,4,---,"Địa chỉ:  Đường Cao Đạt, Phường 1, Quận 5, Hồ Chí Minh",21/07/2023,05/08/2023,10822,Quận 5,Đường Cao Đạt,Lượt xem: 76
130 Triệu/Tháng,0 m²,0 PN,0,---,"Địa chỉ:  Đường Nguyễn Văn Lượng, Phường 17, Gò Vấp, Hồ Chí Minh",16/12/2023,30/12/2023,19441,Quận Gò Vấp,Đường Nguyễn Văn Lượng,Lượt xem: 11
2.6 Triệu/Tháng,24 m²,0 PN,0,---,"Địa chỉ:  109f Đường Bến Vân Đồn, Phường 9, Quận 4, Hồ Chí Minh",07/08/2023,22/08/2023,11418,Quận 4,Đường Bến Vân Đồn,Lượt xem: 70
10 Triệu/Tháng,0 m²,2 PN,0,---,"Địa chỉ:  Đường Nguyễn Thị Minh Khai, Phường 5, Quận 3, Hồ Chí Minh",20/12/2023,03/01/2024,20155,Quận 3,Đường Nguyễn Thị Minh Khai,Lượt xem: 24
24 Triệu/Tháng,40 m²,4 PN,4,---,"Địa chỉ:  207/15 Đường 3/2, Phường 11, Quận 10, Hồ Chí Minh",23/03/2023,07/04/2023,4823,Quận 10,Đường 3/2,Lượt xem: 83
20 Triệu/Tháng,24 m²,0 PN,0,---,"Địa chỉ:  Đường Trần Hưng Đạo, Phường 14, Quận 5, Hồ Chí Minh",21/07/2023,05/08/2023,10802,Quận 5,Đường Trần Hưng Đạo,Lượt xem: 61
69 Triệu/Tháng,126 m²,12 PN,13,---,"Địa chỉ:  22-24 Đường Đinh Công Tráng, Phường Tân Định, Quận 1, Hồ Chí Minh",14/04/2023,29/04/2023,5003,Quận 1,Đường Đinh Công Tráng,Lượt xem: 70
30 Triệu/Tháng,120 m²,4 PN,5,---,"Địa chỉ:  38H Đường Trương Quốc Dung, Phường 10, Phú Nhuận, Hồ Chí Minh",07/03/2023,22/03/2023,3940,Quận Phú Nhuận,Đường Trương Quốc Dung,Lượt xem: 39
12 Triệu/Tháng,52 m²,4 PN,3,---,"Địa chỉ:  Đường Quốc Lộ 50, Phường 6, Quận 8, Hồ Chí Minh",12/07/2023,27/07/2023,9991,Quận 8,Đường Quốc Lộ 50,Lượt xem: 71
10.5 Triệu/Tháng,64 m²,2 PN,2,---,"Địa chỉ:  D’Lusso, số 09, Đường Nguyễn Thị Định, Phường An Phú, Quận 2, Hồ Chí Minh",08/06/2023,23/06/2023,7594,Quận 2,Đường Nguyễn Thị Định,Lượt xem: 91
4 Triệu/Tháng,50 m²,0 PN,0,---,"Địa chỉ:  Đường Lê Trọng Tấn, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh",22/08/2023,06/09/2023,12410,Quận Tân Phú,Đường Lê Trọng Tấn,Lượt xem: 64
50 Triệu/Tháng,800 m²,0 PN,0,---,"Địa chỉ:  Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",12/06/2023,27/06/2023,7947,Quận 2,Đường Nguyễn Văn Hưởng,Lượt xem: 101
15 Triệu/Tháng,360 m²,0 PN,0,---,"Địa chỉ:  Đường Lạc Long Quân, Phường 5, Quận 11, Hồ Chí Minh",17/07/2023,01/08/2023,10309,Quận 11,Đường Lạc Long Quân,Lượt xem: 75
38 Triệu/Tháng,360 m²,5 PN,5,---,"Địa chỉ:  Đường Đặng Dung, Phường Tân Định, Quận 1, Hồ Chí Minh",13/12/2023,27/12/2023,19021,Quận 1,Đường Đặng Dung,Lượt xem: 13
3.4 Triệu/Tháng,24 m²,0 PN,0,---,"Địa chỉ:  Đường Trường Chinh, Phường 15, Tân Bình, Hồ Chí Minh",07/08/2023,22/08/2023,11576,Quận Tân Bình,Đường Trường Chinh,Lượt xem: 91
20 Triệu/Tháng,80 m²,0 PN,0,---,"Địa chỉ:  Đường Lò Lu, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",19/08/2023,03/09/2023,12104,Quận 9,Đường Lò Lu,Lượt xem: 55
20 Triệu/Tháng,450 m²,0 PN,0,---,"Địa chỉ:  Đường 8, Phường Long Trường, Quận 9, Hồ Chí Minh",19/08/2023,03/09/2023,12180,Quận 9,Đường 8,Lượt xem: 56
15 Triệu/Tháng,64 m²,5 PN,6,---,"Địa chỉ:  Đường Liên Phường, Phường Phước Long B, Quận 9, Hồ Chí Minh",19/08/2023,03/09/2023,12103,Quận 9,Đường Liên Phường,Lượt xem: 56
45 Triệu/Tháng,0 m²,0 PN,0,---,"Địa chỉ:  6a Đường Hoa Đào, Phường 2, Phú Nhuận, Hồ Chí Minh",25/08/2023,09/09/2023,11483,Quận Phú Nhuận,Đường Hoa Đào,Lượt xem: 50
24 Triệu/Tháng,150 m²,5 PN,5,---,"Địa chỉ:  Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Hồ Chí Minh",03/08/2023,18/08/2023,11317,Quận 7,Đường Nguyễn Văn Linh,Lượt xem: 65
200 Triệu/Tháng,850 m²,6 PN,6,---,"Địa chỉ:  Đường Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",15/12/2023,29/12/2023,19268,Quận 1,Đường Tôn Đức Thắng,Lượt xem: 12
35 Triệu/Tháng,162 m²,4 PN,6,---,"Địa chỉ:  182/16B Đường Lê Văn Sỹ, Phường 10, Phú Nhuận, Hồ Chí Minh",15/03/2023,30/03/2023,4429,Quận Phú Nhuận,Đường Lê Văn Sỹ,Lượt xem: 37
120 Triệu/Tháng,250 m²,3 PN,4,---,"Địa chỉ:  Đường Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Hồ Chí Minh",03/10/2023,18/10/2023,13418,Quận 1,Đường Nguyễn Văn Thủ,Lượt xem: 79
120 Triệu/Tháng,0 m²,0 PN,0,---,"Địa chỉ:  Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh",16/12/2023,30/12/2023,19445,Quận Gò Vấp,Đường Phan Văn Trị,Lượt xem: 13
70 Triệu/Tháng,308 m²,6 PN,0,---,"Địa chỉ:  24/2 Đường Vũ Tông Phan, Phường An Phú, Quận 2, Hồ Chí Minh",26/08/2023,10/09/2023,12598,Quận 2,Đường Vũ Tông Phan,Lượt xem: 88
27 Triệu/Tháng,160 m²,0 PN,0,---,"Địa chỉ:  Đường Trung Sơn, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",27/04/2023,12/05/2023,6102,Huyện Bình Chánh,Đường Trung Sơn,Lượt xem: 129
31 Triệu/Tháng,72 m²,0 PN,0,---,"Địa chỉ:  39A Đường Hoa Lan, Phường 2, Phú Nhuận, Hồ Chí Minh",23/06/2023,08/07/2023,9104,Quận Phú Nhuận,Đường Hoa Lan,Lượt xem: 30
50 Triệu/Tháng,0 m²,5 PN,4,---,"Địa chỉ:  Đường Hoàng Diệu, Phường 10, Phú Nhuận, Hồ Chí Minh",18/12/2023,01/01/2024,19953,Quận Phú Nhuận,Đường Hoàng Diệu,Lượt xem: 12
14 Triệu/Tháng,150 m²,3 PN,4,---,"Địa chỉ:  Đường Lê Thị Riêng, Phường Thới An, Quận 12, Hồ Chí Minh",17/07/2023,01/08/2023,10384,Quận 12,Đường Lê Thị Riêng,Lượt xem: 102
80 Triệu/Tháng,350 m²,4 PN,3,Tây Nam,"Địa chỉ:  Đường Nguyễn Đình Chính, Phường 8, Phú Nhuận, Hồ Chí Minh",10/12/2023,24/12/2023,18476,Quận Phú Nhuận,Đường Nguyễn Đình Chính,Lượt xem: 12
55 Triệu/Tháng,340 m²,0 PN,0,---,"Địa chỉ:  Đường Phan Xích Long, Phường 3, Bình Thạnh, Hồ Chí Minh",07/10/2023,22/10/2023,13600,Quận Bình Thạnh,Đường Phan Xích Long,Lượt xem: 72
25 Triệu/Tháng,200 m²,4 PN,5,---,"Địa chỉ:  Đường Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, Hồ Chí Minh",03/08/2023,18/08/2023,11319,Quận 7,Đường Nguyễn Hữu Thọ,Lượt xem: 65
35 Triệu/Tháng,0 m²,4 PN,5,---,"Địa chỉ:  233/12A Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh",19/06/2023,04/07/2023,8737,Quận Bình Thạnh,Đường Bình Lợi,Lượt xem: 79
20 Triệu/Tháng,250 m²,4 PN,2,---,"Địa chỉ:  Đường Nguyễn Thái Sơn, Phường 3, Gò Vấp, Hồ Chí Minh",08/12/2023,22/12/2023,18227,Quận Gò Vấp,Đường Nguyễn Thái Sơn,Lượt xem: 17
180 Triệu/Tháng,500 m²,5 PN,5,---,"Địa chỉ:  Đường Ngô Thời Nhiệm, Phường 7, Quận 3, Hồ Chí Minh",17/06/2023,02/07/2023,8682,Quận 3,Đường Ngô Thời Nhiệm,Lượt xem: 78
17 Triệu/Tháng,150 m²,2 PN,3,---,"Địa chỉ:  Đường Hoàng Hoa Thám, Phường 6, Bình Thạnh, Hồ Chí Minh",06/12/2023,20/12/2023,17828,Quận Bình Thạnh,Đường Hoàng Hoa Thám,Lượt xem: 21
30 Triệu/Tháng,0 m²,4 PN,3,---,"Địa chỉ:  Đường Số 6, Phường An Phú, Quận 2, Hồ Chí Minh",07/12/2023,21/12/2023,18023,Quận 2,Đường Số 6,Lượt xem: 27
35 Triệu/Tháng,200 m²,4 PN,4,---,"Địa chỉ:  Đường Lê Trực, Phường 7, Bình Thạnh, Hồ Chí Minh",18/12/2023,01/01/2024,19930,Quận Bình Thạnh,Đường Lê Trực,Lượt xem: 12
30 Triệu/Tháng,300 m²,0 PN,0,---,"Địa chỉ:  Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",16/12/2023,30/12/2023,19427,Quận 3,Đường Trần Quang Diệu,Lượt xem: 7
25 Triệu/Tháng,300 m²,4 PN,4,---,"Địa chỉ:  Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",18/12/2023,01/01/2024,19756,Quận 3,Đường Trần Quang Diệu,Lượt xem: 10
45 Triệu/Tháng,0 m²,7 PN,7,---,"Địa chỉ:  Đường Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Hồ Chí Minh",20/12/2023,03/01/2024,20161,Quận 3,Đường Nam Kỳ Khởi Nghĩa,Lượt xem: 11
45 Triệu/Tháng,300 m²,6 PN,4,---,"Địa chỉ:  Đường Ngô Tất Tố, Phường 22, Bình Thạnh, Hồ Chí Minh",13/12/2023,27/12/2023,19036,Quận Bình Thạnh,Đường Ngô Tất Tố,Lượt xem: 12
